model,seed,test_acc,causal_acc,temporal_acc,descriptive_acc,gate_mean,gate_std,lat_ms_per_sample,params
fixed,0,0.2666666667,0.25,0.3043478261,0.25,0.5047588348,0.0,0.0981420279,1973762
dynamic,0,0.2666666667,0.275,0.2173913043,0.3333333333,0.4974255661,0.0005713306,0.1105934381,2236418
fixed,1,0.24,0.2820512821,0.1481481481,0.3333333333,0.4999915361,0.0,0.1609563828,1973762
dynamic,1,0.2666666667,0.3076923077,0.1851851852,0.3333333333,0.5028574578,0.0004004647,0.1080098477,2236418
fixed,2,0.2666666667,0.3055555556,0.1739130435,0.3125,0.5064783692,0.0,0.1049754294,1973762
dynamic,2,0.2666666667,0.3333333333,0.1304347826,0.3125,0.6584978072,0.0190643069,0.1122420484,2236418
fixed,3,0.2,0.1612903226,0.2,0.2857142857,0.5002390146,0.0,0.0985500487,1973762
dynamic,3,0.2933333333,0.2580645161,0.3333333333,0.2857142857,0.4946299469,0.0010035527,0.1296988942,2236418
fixed,4,0.1866666667,0.2093023256,0.125,0.25,0.5010336041,0.0,0.1045118679,1973762
dynamic,4,0.2666666667,0.2790697674,0.1666666667,0.5,0.5000935984,0.0007554289,0.117569349,2236418
